,Name,Continent,Country,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
33,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,Europe,error,852,2504,150.0,50.0,67.0,33.0,,57.0,60.0, 2021-11-27,2022-04-18, mid December,mid April, 08:30,16:30
34,Paganella   Andalo,Europe, Italia,1040,2125,40.0,11.0,27.8,1.2,2.0,14.0,47.0, 2021-11-27,2022-04-18, late November,early April, 08:30,16:00
35,Ehrwalder Wettersteinbahnen   Ehrwald,Europe,error,1000,1530,23.0,15.0,5.0,3.0,1.5,4.0,49.5, 2021-12-18,2022-02-20, mid December,late March, 09:00,16:00
36,Zillertal Arena   Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,error,580,2500,147.0,49.0,87.0,10.7,3.0,52.0,59.5,,, early December,late April, 08:30,16:30
37,San Martino di Castrozza,Europe, Italia,1404,2357,60.0,16.0,32.0,12.0,,21.0,50.0, 2021-11-27,2022-04-18, mid November,mid April, 09:00,16:00
38,Glungezer   Tulfes,Europe, Austria,950,2304,23.0,6.5,15.5,1.0,,6.0,38.0, 2021-12-08,2022-04-10, mid December,early April, 08:30,16:30
39,Folgaria/Fiorentini,Europe,error,1200,1850,74.0,36.4,32.0,5.6,,22.0,49.0, 2021-11-27,2022-04-03, early December,early April, 08:30,16:45
40,Klausberg   Skiworld Ahrntal,Europe,error,1050,2510,33.0,14.0,14.0,5.0,,8.0,51.0, 2021-12-04,2022-04-24, early December,late April, 08:30,16:00
41,Kristberg   Silbertal,Europe, Austria,889,1589,5.0,2.5,2.5,0.0,6.0,3.0,39.0, 2021-12-11,2022-04-03, mid December,early April, 07:45,18:45
42,Flumserberg,Europe, Switzerland,665,2222,65.0,10.0,38.0,17.0,6.0,17.0,62.0, 2021-11-27,2022-04-18, mid November,early April, 08:00,16:30
43,Pejo,Europe, Italia,1400,3000,20.0,5.0,12.8,2.2,,7.0,38.0, 2021-12-04,2022-04-18, early December,early April, 08:30,16:30
44,of Rosskopf,Europe, Austria,948,2120,20.0,6.0,13.0,1.0,,3.0,45.0, 2021-11-27,2022-04-18, early December,early April, 08:30,17:00
45,Gurgl   Obergurgl Hochgurgl,Europe,error,1793,3082,112.0,60.2,33.2,18.8,4.5,25.0,60.0, 2021-11-18,2022-04-24, early January,late April, 09:00,16:00
46,of Pizol below the glacier,Europe,error,509,2227,43.0,15.5,14.4,13.1,,12.0,55.0, 2021-12-11,2022-04-03, mid December,early April, 08:15,16:45
47,Hohsaas   Saas Grund,Europe, Switzerland,1559,3142,34.5,12.0,21.3,1.2,5.0,6.0,52.0, 2021-12-18,2022-04-18, mid December,mid April, 09:00,16:15
48,Schilthorn   Mürren/Lauterbrunnen,Europe, Switzerland,796,2970,54.0,19.0,23.0,12.0,3.0,16.0,64.0, 2021-12-04,2022-04-24, early December,late April, 08:00,16:30
49,Fichtelberg   Oberwiesenthal,Europe, Deutschland,911,1215,15.5,6.8,6.1,2.6,,6.0,32.0, 2021-12-11,2022-03-27, early December,late March, 09:00,16:30
50,SkiWelt Wilder Kaiser Brixental,Europe, Austria,620,1957,288.0,126.0,127.0,35.0,,90.0,57.0, 2021-12-04,2022-03-27, early December,mid April, 08:30,16:30
51,Serfaus Fiss Ladis,Europe, Austria,1200,2828,198.0,47.0,123.0,28.0,16.0,39.0,56.0, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:00
52,St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken   Ski Arlberg,Europe,error,1300,2811,302.0,130.0,121.0,51.0,200.0,88.0,61.0, 2021-12-03,2022-04-24, early December,late April, 08:45,16:30
53,St. Moritz   Corviglia,Europe, Switzerland,1720,3022,155.0,42.0,79.0,34.0,8.0,,, 2021-11-27,2022-04-03, early December,mid April, 07:45,17:00
54,Schladming   Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4 Berge Skischaukel),Europe,error,728,2015,123.0,46.4,68.3,8.3,4.0,46.0,60.5, 2021-11-06,2022-04-18, mid December,mid April, 08:15,16:30
55,Kaltenbach   Hochzillertal/Hochfügen (SKi optimal),Europe,error,600,2378,85.6,29.7,41.3,14.6,3.4,36.0,61.0, 2021-12-04,2022-04-18, late November,mid April, 07:30,16:30
56,Tignes/Val d'Isère,Europe, France,1550,3456,300.0,170.0,78.0,52.0,20.0,82.0,62.0, 2021-10-16,2022-05-08, late November,early Maymid June - early August, 09:30,16:30
57,Les 3 Vallées   Val Thorens/Les Menuires/Méribel/Courchevel,Europe,error,1100,3230,600.0,312.0,216.0,72.0,50.0,136.0,66.0, 2021-11-20,2022-05-08, mid November,early May, 08:30,16:30
58,Mayrhofen   Penken/Ahorn/Rastkogel/Eggalm,Europe,error,630,2500,142.0,44.0,70.0,28.0,8.7,44.0,57.5, 2021-12-03,2022-04-24, early December,late April, 08:00,17:00
59,Zermatt/Breuil Cervinia/Valtournenche   Matterhorn,Europe,error,1562,3899,322.0,75.0,220.0,27.0,38.0,52.0,85.0, Year-round__,, Year-round__,mid April, 08:00,16:30
60,Hochkönig   Maria Alm/Dienten/Mühlbach,Europe, Austria,800,1900,120.0,52.0,41.0,27.0,8.0,34.0,60.5, 2021-12-03,2022-04-18, early December,mid April, 09:00,15:30
61,Silvretta Montafon,Europe, Austria,700,2430,118.0,60.0,50.0,8.0,22.0,34.0,59.0, 2021-11-26,2022-04-18, late November,mid April, 08:15,16:30
62,Kronplatz (Plan de Corones),Europe, Italia,973,2275,119.0,52.0,42.0,25.0,,32.0,62.0, 2021-11-27,2022-04-24, late November,mid April, 08:30,17:00
63,Laax/Flims/Falera,Europe, Switzerland,1100,3018,188.0,88.0,81.0,19.0,28.0,28.0,82.0, 2021-10-30,2022-04-24, late October,early May, 08:30,16:30
64,Obertauern,Europe, Austria,1630,2313,100.0,61.0,35.0,4.0,,26.0,50.0, 2021-11-20,2022-05-01, late November,mid April, 09:00,16:00
65,Snow Space Salzburg   Flachau/Wagrain/St. Johann Alpendorf,Europe,error,740,1980,120.0,34.0,82.1,4.0,5.0,,, 2021-11-27,2022-04-18, late November,early April, 08:30,16:00
66,Schmittenhöhe   Zell am See,Europe, Austria,760,2000,77.0,30.0,28.0,19.0,8.0,28.0,60.5, 2021-11-27,2022-04-18, late November,early May, 08:30,15:30
67,Adelboden/Lenk   Chuenisbärgli/Silleren/Hahnenmoos/Metsch,Europe,error,1260,2200,86.0,46.0,34.0,6.0,,23.0,63.0, 2021-12-04,2022-04-03, late November,mid April, 08:00,16:30
68,Grandvalira   Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,Europe,error,1710,2640,210.0,100.0,77.0,33.0,,65.0,52.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,17:00
69,Bad Gastein/Bad Hofgastein   Schlossalm/Angertal/Stubnerkogel,Europe,error,860,2300,82.7,30.8,49.3,2.6,1.3,,, 2021-12-03,2022-04-24, early December,mid April, 08:30,16:00
70,Andermatt/Oberalp/Sedrun,Europe, Switzerland,1444,2600,70.0,18.0,40.0,12.0,,13.0,82.0, 2021-11-27,2022-04-18, mid November,late April, 09:00,16:00
71,La Plagne (Paradiski),Europe, France,1207,3167,225.0,139.0,59.0,27.0,,71.0,55.0, 2021-12-11,2022-04-30, mid December,late Aprildepending on snow conditions - depending on snow conditions, 08:30,16:30
72,Serre Chevalier   Briançon/Chantemerle/Villeneuve la Salle/Le Monêtier les Bains,Europe,error,1200,2800,250.0,138.0,80.0,32.5,,55.0,54.0, 2021-12-11,2022-04-24, early December,late April, 08:30,16:30
73,Aletsch Arena   Riederalp/Bettmeralp/Fiesch Eggishorn,Europe,error,1845,2869,104.0,42.0,50.0,12.0,15.0,35.0,61.0, 2021-12-08,2022-04-18, early December,early April, 09:00,16:30
74,on the famous Alpe di Siusi (Seiser Alm) guarantees an amazing winter holiday. Europe’s largest mountain pasture,Europe,error,1669,2220,63.0,15.0,45.0,3.0,,21.0,62.0, 2021-12-04,2022-04-10, early December,late April, 08:00,17:00
75,4 Vallées   Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Europe, Switzerland,821,3330,412.0,107.0,202.0,103.0,,67.0,72.0, 2021-12-03,2022-04-18, mid November,late Aprilmid June - late Augustlate October - early November, 08:45,16:45
76,Les 2 Alpes,Europe, France,1280,3523,200.0,110.0,56.0,34.0,,47.0,54.0, 2021-11-27,2022-04-24, late November,late May, 09:00,17:00
77,Titlis   Engelberg,Europe, Switzerland,1003,3020,70.0,18.0,42.5,9.5,,18.0,63.0, 2021-10-09,2022-05-22, early October,mid April, 08:30,16:00
78,Les Portes du Soleil   Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,Europe,error,985,2254,580.0,310.0,210.0,60.0,,165.0,59.0, 2021-12-18,2022-04-10, mid December,mid April, 08:00,13:00
79,Alta Badia,Europe, Italia,1324,2550,130.0,70.0,52.0,8.0,,53.0,62.0, 2021-12-04,2022-04-10, early December,mid April, 08:30,16:30
80,Turracher Höhe,Europe, Austria,1400,2205,42.0,14.0,24.5,3.5,1.0,14.0,48.5, 2021-11-20,2022-05-01, mid December,late April, 09:00,16:00
81,Livigno,Europe, Italia,1816,2798,115.0,30.0,65.0,20.0,,32.0,50.0, 2021-11-27,2022-05-01, early December,early April, 08:30,17:00
82,Katschberg,Europe, Austria,1066,2220,70.0,10.0,50.0,10.0,2.0,16.0,51.0, 2021-12-03,2022-04-03, early December,early April, 09:00,16:00
83,Belvedere/Col Rodella/Ciampac/Buffaure   Canazei/Campitello/Alba/Pozza di Fassa,Europe,error,1320,2485,55.2,7.3,40.7,7.2,,36.0,56.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,16:30
84,Großglockner Resort Kals Matrei,Europe,error,1020,2422,44.6,9.5,24.5,10.6,,14.0,52.0, 2021-12-08,2022-04-18, early December,mid April, 09:00,16:30
85,Damüls Mellau,Europe, Austria,710,2050,80.6,29.9,48.8,1.9,17.7,20.0,55.5,,, early December,early April, 09:00,16:00
86,Passo San Pellegrino/Falcade,Europe, Italia,1190,2513,67.5,20.5,38.5,8.5,1.5,15.0,52.0, 2021-12-04,2022-04-09, late November,mid April, 08:30,16:30
87,Kleine Scheidegg/Männlichen   Grindelwald/Wengen,Europe,error,944,2320,102.0,33.0,56.0,13.0,,24.0,64.0, 2021-11-27,2022-04-24, late November,mid April, 08:00,16:30
88,Via Lattea   Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,Europe,error,1372,2789,400.0,96.0,220.0,84.0,,69.0,50.5, 2021-12-04,2022-04-24, early December,late April, 09:00,16:30
89,Trysil,Europe, Norway,415,1100,71.0,33.0,18.0,20.0,,31.0,54.0, 2021-11-20,2022-04-18, depending on snow conditions,mid April, 09:00,15:30
90,Parsenn (Davos Klosters),Europe, Switzerland,810,2844,95.5,17.3,60.5,17.7,6.3,18.0,67.0, 2021-11-19,2022-04-24, early November,mid April, 08:15,16:00
91,Baqueira/Beret,Europe, España,1500,2610,160.0,80.0,60.0,20.0,5.0,29.0,54.5, 2021-11-27,2022-04-18, early December,late April, 08:45,16:45
92,Alpe d'Huez,Europe, Danmark,1125,3330,250.0,70.0,130.0,50.0,,62.0,55.0, 2021-12-04,2022-04-24, early December,early April, 08:30,17:00
93,Obersaxen/Mundaun/Val Lumnezia,Europe,error,1201,2310,120.0,60.0,40.0,20.0,,16.0,56.0, 2021-12-04,2022-04-03, mid December,late April, 09:00,16:00
94,Le Grand Massif   Flaine/Les Carroz/Morillon/Samoëns/Sixt,Europe,error,697,2480,265.0,135.0,95.0,35.0,,55.0,50.9, 2021-11-27,2022-04-24, mid December,late April, 08:30,16:30
95,Les Arcs/Peisey Vallandry (Paradiski),Europe,error,1200,3226,200.0,104.0,70.0,26.0,,47.0,55.0, 2021-12-11,2022-04-30, mid December,mid April, 08:30,16:30
96,Nassfeld   Hermagor,Europe, Austria,600,2002,110.0,30.0,69.0,11.0,,30.0,51.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,16:15
97,Arabba/Marmolada,Europe,error,1446,3269,63.0,23.6,30.5,8.9,,26.0,57.0, 2021-12-03,2022-04-24, early December,mid April, 08:40,16:30
98,Großarltal/Dorfgastein,Europe, Austria,849,2033,63.2,27.8,34.0,1.4,9.7,17.0,57.5, 2021-12-04,2022-04-18, late December,mid April, 08:30,15:00
99,Megève/Saint Gervais,Europe, France,850,2353,263.0,98.0,134.0,31.0,,81.0,50.5, 2021-11-27,2022-04-18, mid December,mid April, 08:30,17:10
100,Jakobshorn (Davos Klosters),Europe,error,1540,2590,41.2,25.5,13.2,2.5,13.0,11.0,64.0, 2021-12-03,2022-04-18, late November,mid April, 08:15,16:00
101,Espace Diamant   Les Saisies/Notre Dame de Bellecombe/Praz sur Arly/Flumet/Crest Voland,Europe,error,1000,2069,192.0,132.0,49.0,11.0,,81.0,42.6, 2021-12-04,2022-04-18, mid December,early June, 09:00,17:00
102,Stubai Glacier (Stubaier Gletscher),Europe,error,1697,3212,65.0,25.0,15.0,25.0,,22.0,53.5, 2021-10-08,2022-06-05, depending on snow conditions,mid April, 08:00,16:30
103,Zauchensee/Flachauwinkl,Europe, Austria,1000,2176,45.0,23.5,17.2,4.3,3.5,,, 2021-11-26,2022-04-24, mid December,late April, 08:30,16:00
104,Corvatsch/Furtschellas,Europe, Switzerland,1797,3303,120.0,13.0,89.3,17.7,2.0,,, 2021-11-27,2022-04-24, late November,early May, 08:20,17:00
105,Hemsedal,Europe, Norway,620,1450,44.1,29.2,10.8,4.1,1.7,19.0,54.0, 2021-11-20,2022-05-01, early November,early April, 09:00,16:30
106,Alpe Lusia   Moena/Bellamonte,Europe, Italia,1367,2340,27.5,12.9,10.6,4.0,,8.0,52.0, 2021-12-03,2022-04-18, early December,early May, 08:30,16:30
107,Åre,Europe, Sweeden,380,1274,91.0,45.0,38.0,8.0,,31.0,58.0, 2021-11-20,2022-05-01, mid November,mid April, 08:00,16:30
108,Alagna Valsesia/Gressoney La Trinité/Champoluc/Frachey (Monterosa Ski),Europe,error,1212,3275,132.0,29.0,89.0,14.0,5.0,20.0,47.0, 2021-11-27,2022-04-24, early December,early April, 08:45,17:00
109,3 Zinnen Dolomites   Helm/Stiergarten/Rotwand/Kreuzbergpass,Europe,error,1130,2200,86.4,40.4,37.6,8.4,,20.0,59.0, 2021-11-27,2022-04-18, late November,early April, 08:30,16:30
110,Radstadt/Altenmarkt,Europe, Austria,850,1571,17.3,9.2,7.5,0.6,,,, 2021-12-17,2022-04-03, mid December,late March, 08:30,16:00
111,Dachstein West   Gosau/Russbach/Annaberg,Europe,error,745,1617,51.0,15.0,33.0,3.0,4.0,17.0,48.6, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:00
112,Galtür   Silvapark,Europe, Austria,1600,2300,43.0,6.0,25.0,12.0,6.0,10.0,44.5, 2021-12-10,2022-04-22, early December,early April, 08:45,16:00
113,Civetta   Alleghe/Selva di Cadore/Palafavera/Zoldo,Europe,error,1000,2100,72.0,28.0,36.0,8.0,,23.0,52.0, 2021-12-04,2022-04-09, early December,late March, 08:30,16:30
114,St. Johann in Tirol/Oberndorf   Harschbichl,Europe,error,659,1604,42.0,15.5,23.0,3.5,1.0,16.0,49.5, 2021-12-04,2022-04-03, mid December,mid April, 08:30,16:00
115,Hochzeiger   Jerzens,Europe, Austria,1450,2450,40.0,10.0,22.0,8.0,8.0,9.0,47.0, 2021-12-03,2022-04-23, early December,mid April, 08:45,16:30
116,Formigal,Europe, España,1501,2251,137.0,47.0,70.0,20.0,,15.0,49.5, 2021-11-27,2022-04-18, late November,late April, 09:00,17:00
117,Hintertux Glacier (Hintertuxer Gletscher),Europe,error,1500,3250,60.0,14.0,35.0,11.0,,21.0,57.5, Year-round__,, Year-round__,late March, 09:00,16:00
118,Hafjell,Europe, Norway,195,1059,44.0,33.0,7.0,4.0,,15.0,52.0, 2021-11-20,2022-04-24, early November,early May, 09:00,16:30
119,Rinderberg/Saanerslochgrat/Horneggli   Zweisimmen/Saanenmöser/Schönried/St. Stephan,Europe,error,948,2011,88.9,64.3,20.6,4.0,,15.0,71.0, 2021-12-04,2022-04-18, depending on snow conditions,mid April, 08:30,16:30
120,Cortina d'Ampezzo,Europe, Italia,1217,2828,120.0,45.0,59.0,16.0,,27.0,48.0, 2021-11-27,2022-04-18, late November,early April, 08:30,16:30
121,Saas Fee,Europe, Switzerland,1800,3573,100.0,20.0,60.0,20.0,5.0,23.0,69.0, 2021-07-17,2022-04-24, mid July,late April, 08:30,16:00
122,Plose   Brixen (Bressanone),Europe, Italia,1067,2505,42.5,19.5,9.5,13.5,,7.0,52.0, 2021-12-04,2022-04-18, early December,late March, 08:45,16:30
123,Les Sybelles   Le Corbier/La Toussuire/Les Bottières/St Colomban des Villards/St Sorlin/St Jean d’Arves,Europe,error,1100,2620,310.0,53.0,239.0,18.5,,60.0,46.6, 2021-12-04,2022-04-24, mid December,mid May, 09:00,17:00
124,First   Grindelwald,Europe, Switzerland,1050,2500,49.0,30.0,11.0,8.0,4.0,10.0,64.0, 2021-12-11,2022-04-18, early December,late April, 08:30,16:15
125,Jasná Nízke Tatry   Chopok,Europe,error,943,2004,44.5,19.2,17.9,7.4,4.5,,, 2021-11-27,2022-04-24, early December,mid April, 08:30,16:00
126,Espace San Bernardo   La Rosière/La Thuile,Europe,error,1190,2800,152.0,68.0,70.0,14.0,5.2,34.0,47.5, 2021-12-04,2022-04-18, mid December,early May, 09:00,17:00
127,Fellhorn/Kanzelwand   Oberstdorf/Riezlern,Europe,error,920,1967,34.0,13.0,19.0,2.0,2.0,14.0,52.5, 2021-12-03,2022-04-18, early December,early May, 08:30,17:00
128,Ruka,Europe, Finland,291,492,18.9,9.1,7.0,2.8,,16.0,46.5, 2021-10-08,2022-05-08, early October,early April, 09:30,19:00
129,Ylläs,Europe, Finland,200,718,55.0,21.0,28.0,6.0,,26.0,47.0, 2021-11-20,2022-05-01, late November,early May, 09:30,17:00
130,Hinterstoder   Höss,Europe, Austria,600,2000,39.9,12.0,18.0,9.9,,14.0,51.0, 2021-12-03,2022-04-10, early December,early May, 08:30,16:30
131,of Hemavan,Europe, Sweeden,470,1135,30.0,19.0,9.0,2.0,,10.0,42.0, 2021-11-20,2022-05-01, early November,early April, 09:00,17:00
132,Kvitfjell,Europe, Norway,178,1032,39.0,21.5,12.5,5.0,,11.0,48.0, 2021-11-06,2022-04-24, late October,early April, 09:30,16:00
133,Kreischberg,Europe, Deutschland,868,2118,42.5,17.5,16.0,9.0,,13.0,52.0, 2021-12-04,2022-04-03, early December,late April, 08:30,16:00
134,Stoos   Fronalpstock/Klingenstock,Europe,error,1300,1935,35.0,1.2,23.8,10.0,2.0,8.0,46.0, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:30
135,Kühtai,Europe, Austria,1938,2520,46.9,9.3,26.8,10.8,,12.0,44.0,,, late November,mid April, 09:00,16:00
136,Galibier Thabor   Valmeinier/Valloire,Europe,error,1430,2750,160.0,60.0,85.0,15.0,,29.0,43.0, 2021-12-17,2022-04-18, mid December,mid April, 09:00,16:30
137,Le Grand Domaine   Valmorel/Doucy/Celliers/St François Longchamp,Europe,error,1250,2403,165.0,115.0,35.0,15.0,7.0,48.0,47.3, 2021-12-04,2022-04-18, mid December,early May, 09:00,16:30
138,Nauders am Reschenpass   Bergkastel,Europe,error,1400,2740,67.0,23.0,33.0,11.0,6.0,11.0,49.0, 2021-12-08,2022-04-18, mid December,mid April, 08:30,16:00
139,Idre Fjäll,Europe, Sweeden,588,890,41.0,17.0,22.0,2.0,,22.0,43.0, 2021-10-22,2022-04-24, late October,late April, 09:00,16:30
140,Vars/Risoul   La Forêt Blanche,Europe,error,1650,2750,185.0,75.0,90.0,20.0,,40.0,41.5, 2021-12-03,2022-04-18, mid December,mid April, 09:00,16:00
141,La Molina/Masella   Alp2500,Europe,error,1616,2531,141.0,76.0,47.0,18.0,,28.0,48.0, 2021-11-27,2022-04-18, late November,mid May, 09:00,16:00
142,Espace Lumière   Pra Loup/Val d’Allos,Europe, France,1608,2576,180.0,56.0,93.5,30.5,,31.0,41.0, 2021-12-04,2022-04-18, mid December,mid April, 09:00,17:00
143,Pitztal Glacier (Pitztaler Gletscher),Europe, Austria,2685,3440,21.0,4.0,16.0,1.0,,6.0,53.0, 2021-09-18,2022-05-08, mid September,mid April, 08:30,16:00
144,Bansko,Europe, Bulgaria,990,2560,48.2,20.0,24.5,3.7,8.1,14.0,36.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,17:00
145,Lauchernalp   Lötschental,Europe,error,1419,3111,55.0,20.0,17.0,18.0,,6.0,53.0, 2021-12-18,2022-04-18, mid December,mid April, 08:30,16:30
146,Ehrwalder Alm   Ehrwald,Europe, Austria,1112,1923,27.5,18.1,7.4,2.0,,7.0,52.0, 2021-12-17,2022-04-18, mid December,early May, 08:00,16:30
147,St. Jakob im Defereggental   Brunnalm,Europe,error,1400,2525,17.0,4.7,11.1,1.2,6.7,7.0,52.0, 2021-12-08,2022-04-18, early December,mid April, 09:00,16:00
148,Tandådalen/Hundfjället (Sälen),Europe,error,572,872,45.0,18.0,15.0,12.0,,40.0,56.0, 2021-11-27,2022-04-18, mid November,mid April, 09:00,18:00
149,Alpe Cermis   Cavalese,Europe, Italia,860,2250,24.0,10.0,9.0,5.0,,7.0,52.0, 2021-12-03,2022-04-18, late November,early May, 08:15,16:30
150,Hoch Ybrig   Unteriberg/Oberiberg,Europe, Switzerland,1040,1831,50.0,15.0,30.0,5.0,5.0,12.0,51.0, 2021-12-11,2022-04-18, early December,late April, 08:30,16:15
